,Belarus,Mongolia,Russia,Guatemala,Slovenia,El Salvador,Ukraine,Poland,Latvia,Estonia,Paraguay,Kazakhstan,Denmark,Kyrgyzstan,Lithuania,Nicaragua,Finland,Haiti,Grenada,Bahamas,Lesotho,Honduras,Moldova,Saint Lucia,Germany,Bolivia,Cuba,United States,Austria,France,Mauritius,Iceland,Belize,Hungary,Brazil,Croatia,Slovakia,Czech Republic,Luxembourg,Suriname,Mozambique,Belgium,Canada,Turkmenistan,Serbia,Swaziland,Micronesia,Mexico,Norway,Eritrea,Azerbaijan,Somalia,Costa Rica,Netherlands,Uruguay,Sweden,Djibouti,Rwanda,South Africa,Botswana,Zambia,Namibia,Vanuatu,Tajikistan,Solomon Isl.,India,United Kingdom,Ecuador,Cote d Ivoire,Burkina Faso,Bosnia/Herzeg.,Uganda,Equ. Guinea,Burundi,Cameroon,Pakistan,Angola,Switzerland,DR Congo,Togo,Gabon,Romania,Malawi,Kenya,Chad,Samoa,Ethiopia,Guinea,Benin,Ghana,South Korea,Sierra Leone,Comoros,Saint Vincent,Niger,Sao Tome,Gambia,Madagascar,Nigeria,Laos,Montenegro,Tanzania,Australia,China,Ireland,Georgia,Mali,Cambodia,North Korea,South Sudan,Liberia,Peru,Cape Verde,Senegal,Tonga,Bhutan,Argentina,Chile,Barbados,New Zealand,Nepal,Panama,Kiribati,Mauritania,Afghanistan,Myanmar,Thailand,Zimbabwe,Timor-Leste,Portugal,Malaysia,Seychelles,Bahrain,Albania,Philippines,Yemen,Brunei,Bulgaria,Israel,Spain,Guyana,Syria,Malta,Uzbekistan,Saudi Arabia,Libya,Oman,Greece,Sri Lanka,Cyprus,Sudan,Morocco,Iran,Lebanon,Italy,Qatar,Tunisia,Kuwait,Jamaica,Japan,Indonesia,Fiji,Turkey,Algeria,Bangladesh,Egypt,Iraq,Maldives,Jordan,Venezuela,Singapore,Armenia,Colombia,North Macedonia,Papua New Guinea,Central African Republic,Solomon Islands,Trinidad And Tobago,Guinea Bissau,Vietnam,Antigua And Barbuda,United Arab Emirates,Dominican Republic,Republic of the Congo
Alcohol,11247.5291669,6372.340101999999,188532.7314578,14787.5098272,2796.5873976000007,4457.9686965,55961.7218552,55941.0757191,2722.5381932,1730.8628679999997,6755.9399936,21964.991848600002,7271.5303908000005,6261.922361,3852.3111639,5591.123576,5263.684,14254.3002528,174.6919575,416.79931559999994,2104.3311927,9177.6088462,4819.7789924,185.4265446,95714.7753408,11775.7435848,14621.5285944,339443.21860049997,9756.630953400001,80756.3878092,1043.8671744,357.3837939,368.4421048,15692.2741644,218553.5925594,6070.868839600001,8585.287045,13789.954833700001,682.1282266,710.5286784,33843.385018,13219.123993800002,40221.813517799994,5760.39912,13842.6168753,,183.95628390000002,91632.50755709999,5715.0722622,3071.5552281,8512.8530092,18785.788404000003,4275.4932374,21490.556462400004,5302.648845,9836.68411,701.7764,15537.4807128,79194.893757,1725.6238925999999,18606.4008555,2263.6922645,235.1809265,6866.150635499999,578.6310816,1105659.5132620002,76853.7530531,15887.570127,,23106.4779742,,58219.1537096,,15692.2676448,22378.162509,192308.87120400002,28813.860662400002,8389.7905668,88782.2187939,7373.0315944,1931.2693917999998,27136.6869246,28128.6814208,77602.73438719999,14067.109929600001,267.0255612,96201.5304384,12455.142778,12879.68768,31079.154587999998,48567.2989505,7055.6414635,748.5525408,,17290.8058092,,1448.0674656,26411.692968399995,158954.23707789998,9521.525372,775.7871231999999,65014.7228712,25777.8327356,1924663.7532672,5634.5076046,3946.8818298,24298.9745167,18823.8826935,30375.1788928,13077.6289175,5075.3828834999995,35830.5137418,716.667243,17266.3375224,162.6540355,655.6353176,52946.849241,19886.5839003,402.4686875,5521.456785,26214.386157599998,3308.5633356,210.97082379999998,3956.8589579999993,34805.834158599995,58795.22988,81323.9543678,24828.514542000004,,11847.5561871,32430.730998000003,158.4960252,1391.3778775,2879.2358984999996,95784.8202798,19488.2848776,587.534297,8347.861823,8774.1158295,47811.43598280001,763.7419919999999,21476.8074976,458.45409689999997,21748.2881094,17177.1639514,5407.0196748,3395.3956273999993,12337.7690198,15396.126031000002,987.1367184000001,33869.168423999996,36072.690288000005,74300.16268539999,9587.020047,63920.242447200006,2194.2099648,9571.899528099999,3767.0706791,4165.4736189,121986.5466345,258972.158682,939.3847155000001,116573.4584074,36475.2983992,142308.0958503,123486.9253068,29539.398859200002,426.11083519999994,10604.117166200002,26792.342668,5312.6955702000005,3760.9480156,42858.6590893,3103.3939104,13968.0938688,4174.367618100001,578.6310816,1608.711456,1834.5705322,111929.6319921,118.62139769999999,7174.4976108,11659.333668,3335.6835915
All Cancers,1498.6626278,577.9625269999999,21992.3234234,2984.7336288,120.578404,289.9333635,5978.4052654,1411.6785903,187.48808119999998,77.60229749999999,182.5929728,2889.7352073,1703.4866081999999,992.982479,183.2100497,202.04889699999998,3028.00348,1726.3427392,7.775339300000001,66.1829652,369.3237276,2111.6622124,117.7917196,31.436942400000003,13020.024586799998,2318.2619706,2480.528904,110091.4817226,1200.5528534,12525.986760900001,30.649608800000003,121.44838370000001,66.2448248,1690.561425,25358.3384481,328.0108333,2082.853423,1468.2012951000002,114.74176739999999,138.0345096,7463.797877999999,2584.485929,10518.7383198,855.82728,1186.5349818,,21.85437,3481.1843310000004,1568.9071454000002,734.109147,1760.1611272,2863.9586044,590.4082761999999,5788.1597616,677.0299769999999,3126.732444,214.9888,2524.3872882,9750.348636,444.6926657,3469.0523085000004,463.7151625,54.118949,1688.163165,87.09689119999999,201480.64021,28987.326697000004,2530.0139436,,4385.5066754,,8855.4589552,,2225.9547648,5497.6482273,36005.45142,6609.407299199999,2058.0691116,17760.026214899997,1635.04799,457.38833700000004,1040.7590831,3806.8604479999995,9867.032816,3201.4008935999996,37.956598199999995,24993.0840312,2631.812118,2452.52336,5527.876026,5660.118023999999,1538.7600207,180.007407,,4884.9007592,,480.6752652,4056.734137,40094.1500605,1194.6469520000003,111.23048860000002,10817.8668798,5770.6237492,249866.6075136,1591.4484277999998,863.2557387999999,4025.8656003999995,3251.8386925,4191.6354816,1832.4127825,888.1287836,5351.3319042,93.9062043,3502.8295284000005,18.993391499999998,129.0900184,2237.190813,2225.1257964,41.324525,1197.8426772,3962.605888,231.70298789999998,30.172817400000003,918.7724208000001,8696.5924964,9314.95776,13492.335747399999,2736.2643083999997,,1754.8536189000001,5486.036830499999,16.935353399999997,413.82304,1062.4826524,3397.013418,5720.6198951999995,148.17413729999998,54.8927155,1449.8021125,10061.6282256,25.7989056,2999.6127812,68.48331929999999,2798.0253708,7143.8063292,1536.4208912000001,1146.9481996000002,1015.2054596,5914.3393737999995,200.0593863,7682.390351999999,6684.502416,15647.886398699999,1306.390173,8984.627343600001,653.7109257,2354.2689048,743.9334682000001,446.8401003,9953.6974807,46526.36691150001,140.741865,16083.4600769,7051.2478752,22875.3552987,13446.7406856,7706.6296588,98.91955200000001,1788.6093902,619.903492,25.156470600000002,25.780214100000002,1831.784076,44.79254099999999,1294.6343728,850.038992,87.09689119999999,171.71717759999999,354.04337989999993,23088.710938800003,6.0030477,1677.4121792,1718.308944,1115.7571914
Alzheimers & Dementia,0.0,0.0,0.0,0.0,0.20789380000000002,124.535136,0.0,3.7846610999999997,4.1496356,2.65307,101.9952934,0.0,24.3272484,0.0,1.9056023000000002,37.759957799999995,1.6622160000000001,0.0,4.7372183,0.0,0.0,0.0,0.4033963,0.0,268.1086144,0.0,38.510494400000006,1390.2111341999998,29.721113400000004,228.45728849999998,26.071244,1.4332206,0.0,17.3886318,2083.0822866,4.5157937,2.7298210000000003,8.5671848,3.1924878000000003,0.0,0.0,52.15330350000001,120.77489279999999,0.0,69.0252309,,0.0,2204.7500763,24.395584500000002,0.0,0.0,0.0,19.357648400000002,78.8204112,28.137213000000003,47.466545499999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4632132,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,27.6947904,0.0,0.0,0.0,26.932767400000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.807555,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,58.6497332,0.0,14.3195794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.95774,105.13910550000001,4.7991625,6.751126200000001,0.0,56.523447700000006,0.0,0.0,0.0,0.0,0.0,0.0,,36.708152399999996,0.0,0.0,0.0,0.0,5380.4309298,0.0,2.1436471,10.4226675,77.0342615,210.39650100000003,111.29710800000001,0.0,0.9272403,0.0,0.0,0.0,0.0,12.5076648,372.59053259999996,8.451512999999998,0.0,0.0,0.0,0.0,374.8633212,0.0,0.0,0.0,0.0,177.06704540000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.805324,0.0,3.5558916,91.58920379999999,2.2917114,0.0,0.0,0.0,0.0,0.0,0.0,4.6516275,0.0,0.0,0.0
Anemia,68.0351256,197.68088699999998,1050.7281264,498.0527904,4.7815574000000005,111.562726,126.82790979999999,253.57229370000002,16.5985424,10.2143195,154.7760746,1203.5869187,34.173991799999996,71.1137255,14.7003606,141.7654556,26.595456000000002,1485.7493984,2.4304968000000002,8.4940704,970.8672468000001,532.8678566,17.7494372,7.932686400000001,385.4061332,270.81408719999996,180.09319440000002,2780.4222683999997,34.2243124,404.6957682,81.1387984,0.8872318000000001,9.9804628,58.928141100000005,2316.8976453000005,25.042128700000003,26.206281599999997,83.53005180000001,2.4413142000000003,16.7776752,4653.9342715,53.3122658,139.64596980000002,65.13696,190.4746878,,30.1015191,1379.5804571,34.6959424,579.8398335,497.8335907,4071.8434764000003,51.9600036,66.8260008,69.82197299999999,56.555884000000006,102.0604,1541.3139420000002,8083.774447000001,402.8337051,1987.3055355000001,393.5861845,91.80564050000001,760.1503064999999,167.256254,255162.8107865,583.8196946,88.21527,,2466.586214,,5159.585589599999,,1946.5213408000002,3907.5510336,36955.288482,4581.5583168,36.3494124,18592.9472628,1375.9239287999999,193.19371120000002,100.03599320000001,1851.7793536,5350.243952,3309.8115959999996,33.7502214,9346.5397044,2822.2376454999994,1885.1576,4334.67513,553.7071980000001,1376.8272658,98.4388332,,4945.4173692,,383.76687840000005,4962.230425600001,22077.5499819,1426.00976,2.0098112,4199.3155254,244.79888640000001,18567.2767104,34.564502,80.1822567,4040.0411834999995,2150.0588989999997,1239.9610496,1135.043715,454.1797538,204.4254948,32.5808382,2265.4533231,10.601208499999998,100.1547184,320.8899954,183.5155296,7.5579625,49.6689999,9012.0147144,52.6401574,90.00482149999999,399.4056222,9432.3382358,13319.51904,2743.1391354,3598.3139004000004,,49.9638741,1181.3589634999998,5.792638299999999,87.460955,111.08296419999999,17050.8157368,5237.4392784,20.7802525,13.89689,85.6897965,336.6344016,28.079906399999995,1688.813497,3.2232639,1412.4003665999999,2067.9439374000003,487.1746028,30.639756000000002,9.3807486,5445.389220700001,12.556533600000002,5608.3203539999995,3846.080352,4258.4425143,324.2086375,157.2007476,40.6228473,631.1142546,47.830395200000005,59.8155734,455.3152596,36570.107325499994,343.6073685,2294.0226224000003,2508.2797167999997,12681.082491000001,10755.345860399999,2071.4583895,19.459584000000003,221.40800779999998,321.32612199999994,26.326539,6.8154589,183.17840759999999,33.333984,4256.0993168,1866.2219688,167.256254,34.0075584,375.888191,7680.0138830999995,1.8900297,1018.7114060000001,462.12096599999995,762.0478147
Asthma,37.797292,97.037384,817.2329872000001,800.8258896,2.078938,88.212388,367.3636008,71.9085609,11.317188,7.163289,139.08449099999999,304.18265340000005,25.4856888,270.10167299999995,15.244818400000002,125.866526,11.635512,1116.3074912,10.464639,5.7806868,293.488113,199.08260069999997,49.2143486,3.2318352000000004,335.135768,605.8297899,69.0923576,1390.2111341999998,45.03199,391.641066,54.1773168,3.5830515000000003,5.96442,28.0150179,3634.7660307,19.2947549,20.2006754,36.4105354,0.7511736,21.588057600000003,3206.8076309999997,61.425001900000005,245.324001,531.34872,65.5302825,,6.2572512,1972.6711209,22.2270881,261.3712277,402.52532690000004,2614.4350189999996,47.3752974,104.5227192,21.537126,38.377207,94.848,784.9044107999999,1992.771984,140.39213189999998,1851.2642684999998,157.7902005,9.030063,560.813526,22.667171999999997,70518.22407350001,237.6010385,211.71664800000002,,2178.1210465999998,,3590.6690495,,1071.3596384,2970.4820696999996,24960.83442,4098.4241184,41.5421856,9806.9736285,877.5447439999999,146.23072380000002,50.017996600000004,1404.1384768,4570.56016,2416.2445944,2.480175,12105.665816399998,1566.7424435,1365.07232,2737.5260140000005,199.9498215,1046.5801695999999,83.74257630000001,,2299.63118,,252.3001392,2018.6752122,31972.250253899998,582.0448,7.1599524,5447.7606816,145.3493388,20150.532863999997,11.3569078,44.2797537,2503.0029587999998,800.8384235,685.7165056,1730.549885,578.0929383,389.0678772,10.6749504,1327.7934111,1.6171335,36.8828624,302.8116858,105.13910550000001,6.724575,16.395592200000003,1748.20848,66.8788885,10.989307999999998,457.991313,3955.1199536,4254.84636,704.9797778,1499.6690316,,41.8065069,297.76719080000004,1.4948744,6.12567,37.411361,5555.760654600001,2400.990102,3.9373110000000002,60.451471500000004,25.1010515,187.01911199999998,41.2153248,420.015792,4.0621956,1147.9936629000001,281.9923551,101.69512160000001,53.619572999999995,29.1845512,167.0233422,3.9842847000000003,3266.76987,1494.87768,1873.0427627000001,54.60356,241.847304,19.0149498,349.8311224,7.6870278,53.893239400000006,215.00998370000002,10804.1827925,24.204015,666.2786293,2021.5331284000001,9354.3569544,3438.4359744,1995.0356528,5.3513855999999995,180.59547179999998,881.51414,4.0952394000000005,34.0772945,610.594692,9.1668456,693.39436,702.2481217999999,22.667171999999997,25.7505792,278.4721415,1810.4975694,0.8519823,93.958819,597.719841,402.820351
Birth Trauma,160.638491,34.094216,3517.0205342000004,93.1609536,77.7522812,39.565850499999996,1277.0258503999999,2130.7641993,84.1244308,45.7654575,71.32538,356.757433,222.999777,90.68631049999999,104.26366870000001,40.4097794,109.152184,159.635392,2.8243272999999998,2.4381128,14.995742999999997,137.67403729999998,123.03587149999998,0.0,2102.9769441999997,54.8631987,377.1763128,9400.475288399999,227.8618694,2402.0652048,14.879685599999998,10.373787199999999,0.0,475.28926920000004,4633.795290600001,188.43175530000002,251.6894962,452.98989630000005,21.846632200000002,6.218299200000001,550.095656,410.27265420000003,1090.7482506000001,107.95848,430.7523903,,2.7720542999999997,1366.6871818,151.794748,80.14911459999999,197.71395149999998,381.437328,77.43059360000001,586.0126224,145.201914,276.71986100000004,24.1072,85.48463880000001,1298.860311,12.228460400000001,433.861338,35.3185795,3.5935965,109.6829175,8.7234268,18492.058759,2403.1647894,181.72345620000002,,681.4466997999999,,777.5971189999999,,310.3494624,143.3476602,4837.542246,525.860352,257.0422734,698.5789434000001,126.66447720000001,75.4523826,781.0502545999999,910.5857152,908.7349023999999,248.03054640000002,7.0635384,2368.2499128,93.24284449999999,81.22544,593.493154,892.0838190000001,182.67291070000002,18.1746609,,542.2288256,,10.6333392,592.5877852,1669.7306709,98.94761600000001,18.84198,1648.6644167999998,538.0475524,29362.2050304,144.67712980000002,113.2923428,1134.046648,324.347921,415.03893760000005,204.8451675,41.9787523,445.12002900000005,7.1722323,365.0176086,1.7016895,8.642009600000002,1238.3642076,428.2029024,4.3393625,130.20029100000002,472.0162896,30.203369,1.8514595,95.31798899999998,759.102747,794.38308,1186.599626,340.3609596,,395.6323092,579.3513821,4.1502434,77.932135,189.93460199999998,898.5648395999999,447.38946,6.999664,265.430599,310.7337065,1865.5156422,8.7307272,1317.7995474000002,13.157981399999999,294.5289864,407.3222907,252.1764164,111.8351094,522.1950054,349.0359587,38.7562239,850.6756439999999,1199.5932,1831.0462882000002,757.624395,2043.6097187999999,116.1064359,615.7500499,160.57346959999998,52.4126559,2352.4621746000003,4759.310901,9.323028,4250.6889768,1775.9672819999998,1383.3908172,8319.7870452,1532.4769833,10.8649344,436.6941352,383.88519,81.904788,125.9378275,559.711801,100.4186268,178.94048,60.8550642,8.7234268,30.508838400000002,41.328021,876.0472110000001,1.0478403,344.1859896,98.715981,39.7302264
Bladder Cancer,63902.9366521,34816.751116,1061629.4307114,131306.7809856,8025.9480428,39342.725048,324653.2088308,190330.60671899997,12075.062356399998,6361.796552999999,40885.8475774,133340.9070898,22436.673667200004,43590.756473,16521.0274832,42528.3117692,20689.602552,129539.5595968,844.6201426,2741.5791947999996,45975.0200139,79940.083097,29424.1295183,1182.9802221,310151.3964956,91393.9179195,59542.88765040001,1591526.9465382001,33463.271769,221016.10824600002,8557.090988,1187.2526456,2532.3734436,58197.818564400004,1220112.3095217,20367.0506404,27823.4275604,51103.257332,2166.4472601999996,4882.1274936,460020.6178735,44020.865040900004,130425.5615778,49700.1036,56297.502564300004,,1593.3446052000002,737276.1614799,18360.6590188,44294.79829,93170.9252884,247694.27554779997,19578.7331212,62862.7049064,18883.543653,34954.566091500004,10068.0164,117450.712824,623381.778852,30688.2620246,226628.2052625,28909.1466375,3726.2524255000003,96001.1657475,8548.6835104,11171687.498328999,257260.82728559998,83229.3429396,,241637.6552254,,457588.45992729993,,137789.2159136,312497.899236,2264080.217298,378343.37675520004,26569.68954,1058902.3799496,91683.55681040001,23231.5437718,121612.98742559999,205459.5104704,560538.875152,209176.80769440002,1773.7021115999999,1012070.4505992,162333.16571549998,131804.64272,322549.546376,160026.5071405,96250.27687799999,8036.3306814,,269233.5565612,,26288.0311704,302491.14242840005,2188501.5605774,67683.807124,4104.6625364,567893.210526,81609.8287536,8004223.4507136,18111.799048,30651.1635612,224444.03230559998,149241.8410725,193539.6168832,121760.86306,53414.6748091,137040.9167802,3873.2834355,151252.9157691,803.91617,5531.7349128,258406.837845,75616.0446756,1701.6335875,17156.058344099998,245900.09111600003,18653.6006944,1932.0517403000001,39429.09984,495631.80843740003,485395.26678,348022.690308,206294.4125352,,38111.2195584,218004.4228644,711.638892,11948.799965,18810.1445311,1084239.0181632,291593.537046,3209.4334398,46242.5963195,29055.7654415,147908.74020300002,8788.6960824,137135.15608800002,1576.9708245,249971.4364461,238770.93425350002,40407.31973519999,40118.1645186,40830.2294342,122605.8397993,3876.1053336,372104.82036,276910.403232,443491.1700149,40360.22137400001,196174.44063959998,20553.7202073,63580.6246343,16601.4177054,17191.6472519,358219.2804903,2298418.936845,9494.3386395,409170.98355049995,232756.95644759998,1037460.7682085001,833165.7836064,299134.68044100003,2456.2859904,51575.8220566,177258.27558400002,18568.985507999998,17888.2090181,221248.98664619998,16070.522023800002,100478.65832959999,91935.5807984,8548.6835104,7699.8430272000005,26840.384838399998,680532.9412205999,581.6786742,61327.4156814,74771.389257,63719.5578238
,137.9601158,309.142747,5355.794755399999,1587.3193248,18.5025482,143.34513049999998,1032.1167831999999,1540.3570677,59.7924766,28.5205025,85.590456,383.0448228,84.5661492,101.1250225,131.48655870000002,120.56688280000002,63.71827999999999,1074.1181376,3.9270527000000004,10.578263599999998,404.4566112,1039.983735,156.9211607,4.1132448,754.055478,724.8946040999999,219.7363504,1820.5145805000002,55.8396676,319.8402039,16.0242768,1.6038420999999998,7.515169199999999,324.5877936,3741.0457392000003,78.41059969999999,147.9562982,212.03782379999998,3.1924878000000003,31.736791200000003,2003.4733835,75.3325495,203.8076316,133.89264000000003,283.9645575,,11.3182632,2836.520566,70.476133,261.01658560000004,261.5907666,1280.9936932,59.0917688,53.1181032,28.137213000000003,109.07206200000002,46.93,808.2184032000001,2680.752788,164.61389,639.761634,158.2983815,37.47169,302.3433465,43.205003600000005,86112.273624,909.6725474000001,428.7262122000001,,1059.7959411,,2131.5309262,,856.136448,1773.2636484,10006.423002000001,1935.8234208,44.1385722,4478.07015,687.134092,77.45554320000001,273.1752122,703.9822336,2570.2679488000003,1660.6548504,13.730248799999998,3701.8275336,1041.4306434999999,914.08928,680.4973859999999,276.85359900000003,670.0665720000001,43.219169699999995,,2614.317552,,158.5334208,1049.4895822,14491.6131067,1224.4767479999998,12.121673799999998,1182.7375164,132.5993968,29506.137408,39.0085094,135.631678,1618.0415567000002,3477.54472,1453.9252223999997,387.302885,290.8166575,590.1961866,13.732878900000001,1023.0539397,8.1913625,49.1514296,352.5270372,152.929608,6.494674999999999,32.791184400000006,337.9869728,28.4774622,24.7378879,198.0754308,4141.9760144,3291.7929,1074.9196612,1255.9170779999997,,79.5343302,1796.3129445,6.4712326000000004,98.5211925,33.38244519999999,10903.317260999998,2144.4868116000002,7.7871262,122.292632,21.6388375,177.66815640000002,59.856607200000006,131.254935,3.0024924000000004,819.9954735000001,584.8730328,168.34665400000003,107.23914599999999,166.768864,32.119873500000004,6.036795,1710.12114,1273.41432,1595.866031,123.54055450000001,199.52402580000003,54.4519017,224.55376099999998,40.99748159999999,73.1408249,771.5064120999999,3336.988103,48.4976745,742.1837896,890.1761932,1663.3627683000002,1934.1202356000001,370.04693560000004,7.243289600000001,148.96575639999998,440.75707,45.6326676,157.3482033,636.0361375,35.2090206,565.4519168,738.9543510000001,43.205003600000005,40.7251008,193.4544983,837.1117793999999,0.6855030000000001,201.76420080000003,308.080644,281.422437
Breast Cancer,208.83003829999998,206.53227,5312.0144168,1270.2137712,32.0156452,466.35813950000005,1692.4965894,1071.0590913,74.12758140000001,36.877673,632.6561205999999,798.0100475,81.6700482,403.84767050000005,126.0419807,496.1790946,34.352464,850.6285888,8.6530187,19.1116584,562.3403625,721.0553896000001,158.93814220000002,10.0260342,1156.2183995999999,1267.6900805999999,421.3501152,4766.4381744,111.6793352,881.1923985000001,36.6269184,5.7670067,36.8601156,267.5917227,8502.37668,79.6421798,170.8867946,200.25794470000002,6.1345844,50.9783208,7079.3560275,134.43962679999998,373.6473246,328.09728,402.7928031,,12.1694334,5054.1639176,70.476133,237.25556490000002,266.6603551,1937.3837617999998,140.088245,155.92733520000002,131.30699399999997,119.17132699999999,54.4388,1814.6057418,6838.2919569999995,257.0328311,5024.334901499999,249.516871,17.384407,171.67761,60.995299200000005,51336.163122,706.0145143999999,920.9674187999999,,4924.8111188,,11609.067576599999,,3488.7560256,3204.0856641000005,6052.450116,5117.2785504,57.120505200000004,10630.938536099999,898.241554,171.381518,1113.8623089,6565.3995264,7183.845145599999,1539.1034567999998,7.7778288,9921.357644400001,3355.4291225,1514.18768,3968.014438,630.6109755,563.1749998,193.1383821,,1140.1329323999998,,323.35017840000006,5912.032343000001,22345.5314476,300.480628,14.947970799999998,15064.9697796,232.0489444,37854.2153088,76.0419044,130.4457609,4195.9725976,1088.4046214999998,582.6012416,1558.16652,944.7748108,1915.6647173999997,38.4743004,3015.5812527000003,9.554827999999999,38.3489176,2273.3474322,600.2487114,15.690675,41.9534271,2514.5065304000004,185.534981,47.194299900000004,694.6589051999999,1109.457861,4303.81518,3587.7188691999995,4451.445738,,164.1670149,1126.3367652,8.143131599999998,18.717325000000002,33.0946655,3966.8350236,235.62511560000002,19.3803197,249.4491755,111.6564015,462.8723022,101.07193199999999,285.2607254,2.9583381,1007.4230102999999,219.3273873,196.51895119999998,82.21667860000001,118.82281559999998,620.984221,12.4357977,1455.795432,2613.267648,579.5513480999999,139.239078,574.387347,21.319792200000002,185.55231830000002,48.684509399999996,340.23808829999996,1783.3181000999998,21581.0132235,101.38792950000001,1248.2181916,1315.53132,6241.727615700001,931.2430764,297.6464482,38.2164608,104.0719668,2010.4209580000002,57.9183858,77.63696660000001,2152.3462893,46.875915,998.4878784,496.50004759999996,60.995299200000005,75.99219839999999,344.59697510000007,2326.3920381,7.5111543,144.3998692,610.7373329999999,413.856525
Cervical Cancer,1611.1095715000001,145.22824699999998,24152.153460999998,734.538288,309.3459744,315.87818350000003,7338.5252636000005,7012.9770183,290.6631118,218.878275,683.2971404000001,2179.9756826999997,910.5341543999999,409.719446,417.59913259999996,439.20793019999996,567.369728,1077.538896,16.7884316,43.37481319999999,59.3402973,541.7820029,703.1197509,17.3160261,10204.8841356,485.5976736,1572.1343008000001,34027.072522799994,979.8961024000001,8550.829941,130.61057359999998,41.4610245,29.702811599999997,2369.6841003,20448.215915399996,908.4955871,1357.8129654,1820.52677,70.98590519999999,80.6619,981.4206590000001,1387.2778731,4615.8654342,259.94471999999996,1730.8731951,,14.055810600000001,7374.9534716,856.0139539,205.3377759,824.3150901,1285.7616598,510.4306236,2570.2308,682.9353179999999,1263.4180514999998,52.1664,1589.2371486,5278.47341,49.149004299999994,547.841859,104.177105,14.8965325,339.540162,44.784836799999994,97014.30826550002,8207.4187299,1210.3135044,,1268.8286711,,3407.7050215000004,,1036.8763648000001,1571.5150896,8195.105814,1367.2369152,849.0184182,8105.306971500001,524.0432292,78.7909836,3310.8066211,554.768608,3624.1853504,918.2057975999999,17.1826524,7576.100449199999,233.763751,613.43392,2131.603684,5414.025936,433.94787520000006,41.8278081,,1336.2067488,,25.375014,1453.778445,8905.230244800001,739.924452,66.6378026,4647.3221604,3266.5351404000003,187399.9556352,662.1571026,264.08285539999997,1950.1552179000003,1513.0663325,2673.2632192,786.9188675,191.6861099,2591.5877244,30.968475900000005,951.0550536,6.679924000000001,31.5587672,6933.0317316,2110.4285904,60.980975,782.1661925999999,1681.1938215999999,343.0239765,11.9568449,245.9669082,1592.1693513999999,3672.6615,6700.797887999999,1196.465382,,1634.5324527,4618.628057299999,22.8361734,158.7569475,122.3063725,11506.01319,2320.4599992000003,93.18302700000001,1146.493425,1033.470879,6671.906820599999,65.4411264,1972.3241566,62.7874146,1385.6250042,2503.1173249000003,609.4836003999999,364.10243380000003,1167.382048,734.4744407000001,100.21079700000001,2021.4508860000003,2727.6903839999995,5585.5311085,894.133295,7225.188206999999,304.2391968,908.8518011,421.93241480000006,392.3546275,17188.1510499,22292.1746225,66.6058635,10078.5185065,3832.5812456,5879.4109731,4451.546574,1737.6116976000003,41.5137792,1107.040039,2107.103154,802.6669224000001,338.9949992,4101.1610146,349.38181979999996,966.278592,297.0306705,44.784836799999994,150.1650624,124.3776632,8010.965051700001,13.866746399999998,844.6403308,925.326723,230.10422789999998
